BLDG_PUBID,BLDG_TYP,BLDG_US,BLDG_LOC_REGION,BLDG_NEW_REN,$BLDG_AREA_M2,$BLDG_AREA_FT2,BLDG_STOR_A,$BLDG_STOR_A,LCA_YEAR,LCA_REFPERIOD,LCA_SOUR_CODE,LCA_STAGES,LCA_BLDG_SCOPE,LCA_MAT_Q,EC_WB_EX_OPER,EC_LCAA_PERM2,Average_Area_m2,Average_Storey
A02,Commercial,Education,North America,New,18581 to 46451,"200,001 to 500,000",0,7 to 14,2013,50,14,A,SF,Y,15644.78,421,35000,11
A02,Commercial,Mixed,Middle East,New,18581 to 46451,"200,001 to 500,000",0,1 to 6,2013,50,14,A,SF,Y,10068.45,416,35000,4
A02,Commercial,Education,North America,New,4646 to 9290,"50,001 to 100,000",0,1 to 6,2014,50,14,A,SF,Y,3453.09,413,7000,4
A02,Commercial,Mixed,North America,New,930 to 2323,"10,001 to 25,000",0,1 to 6,2013,50,14,A,SF,Y,482.62,409,1600,4
A02,Commercial,Health Care,Africa,New,18581 to 46451,"200,001 to 500,000",0,7 to 14,2015,50,14,A,SF,Y,17136,408,35000,11
A02,Commercial,Health Care,North America,New,18581 to 46451,"200,001 to 500,000",0,7 to 14,2014,50,14,A,SF,Y,10561.28,406,35000,11
A02,Commercial,Other,North America,New,Over 92903,Over 1 million,0,More than 25,2014,50,14,A,SF,Y,68957.33,405,120000,35
A02,Commercial,Health Care,North America,New,Over 92903,Over 1 million,0,More than 25,2014,50,14,A,SF,Y,56569.84,402,120000,35
A02,Commercial,Public Assembly,North America,New,9291 to 18580,"100,001 to 200,000",0,1 to 6,2014,50,14,A,SF,Y,5904.98,402,14000,4
A02,Commercial,Other,Asia-Pacific,New,46452 to 92903,"500,001 to 1 million",0,More than 25,2015,50,14,A,SF,Y,24380.8,401,70000,35
A02,Commercial,Education,North America,New,4646 to 9290,"50,001 to 100,000",0,1 to 6,2014,50,14,A,SF,Y,2980.23,401,7000,4
A02,Commercial,Other,North America,New,18581 to 46451,"200,001 to 500,000",0,1 to 6,2014,50,14,A,SF,Y,8988.67,399,35000,4
A02,Commercial,Other,North America,New,46452 to 92903,"500,001 to 1 million",0,7 to 14,2014,50,14,A,SF,Y,22700.33,392,70000,11
A02,Commercial,Education,North America,New,4646 to 9290,"50,001 to 100,000",0,1 to 6,2013,50,14,A,SF,Y,2463.69,391,7000,4
A02,Commercial,Education,North America,New,4646 to 9290,"50,001 to 100,000",0,1 to 6,2013,50,14,A,SF,Y,2315.33,389,7000,4
A02,Commercial,Health Care,North America,New,18581 to 46451,"200,001 to 500,000",0,7 to 14,2013,50,14,A,SF,Y,10549.29,389,35000,11
A02,Commercial,Education,North America,New,2324 to 4645,"25,001 to 50,000",0,1 to 6,2013,50,14,A,SF,Y,1646.29,386,3500,4
A02,Commercial,Education,Middle East,New,46452 to 92903,"500,001 to 1 million",0,1 to 6,2014,50,14,A,SF,Y,21169.56,383,70000,4
A02,Commercial,Other,North America,New,Over 92903,Over 1 million,0,1 to 6,2013,50,14,A,SF,Y,49554,381,120000,4
A02,Commercial,Public Assembly,North America,New,18581 to 46451,"200,001 to 500,000",0,7 to 14,2014,50,14,A,SF,Y,7101.84,381,35000,11
A02,Commercial,Other,North America,New,Over 92903,Over 1 million,0,More than 25,2014,50,14,A,SF,Y,42559.62,380,120000,35
A02,Commercial,Other,Middle East,New,Over 92903,Over 1 million,0,More than 25,2014,50,14,A,SF,Y,38730.77,379,120000,35
A02,Commercial,Public Assembly,North America,New,9291 to 18580,"100,001 to 200,000",0,1 to 6,2013,50,14,A,SF,Y,6829.73,377,14000,4
A02,Commercial,Education,North America,New,18581 to 46451,"200,001 to 500,000",0,7 to 14,2014,50,14,A,SF,Y,9381.42,374,35000,11
A02,Commercial,Education,North America,New,2324 to 4645,"25,001 to 50,000",0,1 to 6,2013,50,14,A,SF,Y,1550.41,371,3500,4
A02,Commercial,Other,North America,New,Over 92903,Over 1 million,0,More than 25,2014,50,14,A,SF,Y,51341.11,364,120000,35
A02,Commercial,Other,Middle East,New,Over 92903,Over 1 million,0,7 to 14,2014,50,14,A,SF,Y,144400,361,120000,11
A02,Commercial,Education,North America,New,2324 to 4645,"25,001 to 50,000",0,1 to 6,2013,50,14,A,SF,Y,1435.28,359,3500,4
A02,Commercial,Other,Asia-Pacific,New,Over 92903,Over 1 million,0,More than 25,2014,50,14,A,SF,Y,42720,356,120000,35
A02,Commercial,Office,North America,New,18581 to 46451,"200,001 to 500,000",0,1 to 6,2013,50,14,A,SF,Y,9658.99,356,35000,4
A02,Residential,Other,North America,New,46452 to 92903,"500,001 to 1 million",0,More than 25,2014,50,14,A,SF,Y,26186.22,355,70000,35
A02,Commercial,Other,North America,New,930 to 2323,"10,001 to 25,000",0,1 to 6,2014,50,14,A,SF,Y,474.14,352,1600,4
A02,Commercial,Education,North America,New,2324 to 4645,"25,001 to 50,000",0,1 to 6,2013,50,14,A,SF,Y,1021.34,344,3500,4
A02,Commercial,Health Care,North America,New,4646 to 9290,"50,001 to 100,000",0,1 to 6,2013,50,14,A,SF,Y,2319.02,343,7000,4
A02,Residential,Other,Asia-Pacific,New,4646 to 9290,"50,001 to 100,000",0,15 to 25,2013,50,14,A,SF,Y,3078,342,7000,20
A02,Commercial,Public Assembly,North America,New,46452 to 92903,"500,001 to 1 million",0,7 to 14,2013,50,14,A,SF,Y,15876.62,341,70000,11
A02,Commercial,Other,North America,New,18581 to 46451,"200,001 to 500,000",0,7 to 14,2014,50,14,A,SF,Y,11404.75,341,35000,11
A02,Commercial,Other,Middle East,New,9291 to 18580,"100,001 to 200,000",0,1 to 6,2013,50,14,A,SF,Y,5765.38,340,14000,4
A02,Commercial,Lodging,North America,New,46452 to 92903,"500,001 to 1 million",0,15 to 25,2014,50,14,A,SF,Y,26376.67,336,70000,20
